
 num     #instances         #bytes  class name
----------------------------------------------
   1:          4056       69804392  [I
   2:        165779       25654776  [C
   3:        172575       21862712  <constMethodKlass>
   4:         56045       16108504  [B
   5:        172575       15193416  <methodKlass>
   6:         15635        9448960  <constantPoolKlass>
   7:         15630        6555456  <instanceKlassKlass>
   8:         12787        5283232  <constantPoolCacheKlass>
   9:        155850        3740400  java.lang.String
  10:          7187        2283928  <methodDataKlass>
  11:         25620        2049600  java.util.jar.JarFile$JarFileEntry
  12:         75993        1823832  java.util.HashMap$Entry
  13:         16789        1484424  java.lang.Class
  14:         22107        1255128  [S
  15:          8268        1254272  [Ljava.util.HashMap$Entry;
  16:         14778        1182240  java.lang.reflect.Method
  17:         24768        1168264  [[I
  18:         19191         977048  [Ljava.lang.Object;
  19:         25926         829632  java.util.LinkedHashMap$Entry
  20:         26813         643512  java.util.concurrent.ConcurrentHashMap$HashEntry
  21:          7767         434952  java.util.LinkedHashMap
  22:          8716         418368  java.util.HashMap
  23:          7155         400680  java.net.URL
  24:         15745         377880  java.util.ArrayList
  25:          3815         370792  [Ljava.util.concurrent.ConcurrentHashMap$HashEntry;
  26:         15311         367464  java.lang.ref.WeakReference
  27:            88         361856  [Ljava.nio.ByteBuffer;
  28:          1142         356304  <objArrayKlassKlass>
  29:         11385         304624  [Ljava.lang.String;
  30:          6165         295920  org.apache.tomcat.util.buf.ByteChunk
  31:          7631         244192  java.lang.ref.SoftReference
  32:         14470         231520  java.lang.Integer
  33:          5763         230520  org.apache.catalina.loader.ResourceEntry
  34:          3381         216384  java.lang.reflect.Constructor
  35:          5342         213680  org.apache.tomcat.util.buf.CharChunk
  36:          4980         199200  org.apache.tomcat.util.buf.MessageBytes
  37:          7967         191208  java.util.concurrent.locks.ReentrantLock$NonfairSync
  38:           161         183056  [J
  39:          6629         159096  java.beans.MethodRef
  40:          8759         155032  [Ljava.lang.Class;
  41:          6406         153744  java.util.Hashtable$Entry
  42:          3432         137280  org.aspectj.weaver.reflect.ShadowMatchImpl
  43:          3815         122080  java.util.concurrent.ConcurrentHashMap$Segment
  44:          1895         121280  org.apache.jasper.compiler.Node$TemplateText
  45:          1344         115864  [Ljava.util.Hashtable$Entry;
  46:          3432         109824  org.aspectj.weaver.patterns.ExposedState
  47:          2213         106224  java.beans.MethodDescriptor
  48:          3951          94824  java.util.LinkedList
  49:           209          88208  [Ljava.util.WeakHashMap$Entry;
  50:          3673          88152  java.util.LinkedList$Node
  51:          1807          86736  org.apache.tomcat.util.digester.CallMethodRule
  52:          3518          84432  java.lang.ref.ReferenceQueue
  53:          3433          82392  javax.xml.namespace.QName
  54:         10277          82216  java.lang.Object
  55:          1284          82176  java.lang.reflect.Field
  56:          1275          81600  java.beans.PropertyDescriptor
  57:          2458          78656  org.apache.jasper.compiler.Mark
  58:           977          77712  [Ljava.util.concurrent.ConcurrentHashMap$Segment;
  59:          2078          66496  java.util.TreeMap$Entry
  60:          1627          65080  java.util.WeakHashMap$Entry
  61:          1600          64000  org.springframework.util.ConcurrentReferenceHashMap$Segment
  62:          1568          62720  org.springframework.util.ConcurrentReferenceHashMap$Segment
  63:          2612          62688  java.lang.StackTraceElement
  64:          1492          59680  org.aspectj.weaver.reflect.ShadowMatchImpl
  65:          1232          59136  java.util.Hashtable
  66:          2461          59064  org.apache.catalina.webresources.EmptyResource
  67:          1336          55840  [Z
  68:           976          54656  com.mysql.jdbc.ConnectionPropertiesImpl$BooleanConnectionProperty
  69:          2271          54504  org.apache.xmlbeans.SchemaType$Ref
  70:          2118          50832  sun.reflect.generics.tree.SimpleClassTypeSignature
  71:          1041          49968  java.lang.Package
  72:          3106          49696  java.util.LinkedHashSet
  73:          1541          49312  java.lang.ThreadLocal$ThreadLocalMap$Entry
  74:          1227          49080  javax.servlet.jsp.tagext.TagAttributeInfo
  75:          1492          47744  org.aspectj.weaver.patterns.ExposedState
  76:          2983          47728  java.util.HashSet
  77:           977          46896  java.util.concurrent.ConcurrentHashMap
  78:          2853          45648  java.util.HashMap$KeySet
  79:           475          45600  org.springframework.beans.GenericTypeAwarePropertyDescriptor
  80:          1868          44832  java.util.Vector
  81:           329          44744  java.text.DecimalFormat
  82:          2757          44112  java.lang.StringBuilder
  83:           453          43488  sun.util.calendar.Gregorian$Date
  84:           452          43392  org.springframework.beans.GenericTypeAwarePropertyDescriptor
  85:          1677          40248  com.sun.org.apache.xerces.internal.xni.QName
  86:           713          39928  sun.reflect.DelegatingClassLoader
  87:           344          38528  java.util.GregorianCalendar
  88:          2118          35024  [Lsun.reflect.generics.tree.TypeArgument;
  89:          1975          34456  [Ljava.lang.reflect.Type;
  90:          1428          34272  antlr.ANTLRHashString
  91:           848          33920  org.apache.tomcat.util.modeler.AttributeInfo
  92:          1600          32560  [Lorg.springframework.util.ConcurrentReferenceHashMap$Reference;
  93:          1568          32200  [Lorg.springframework.util.ConcurrentReferenceHashMap$Reference;
  94:           561          31416  org.springframework.core.annotation.AnnotationAttributes
  95:           561          31416  org.springframework.core.annotation.AnnotationAttributes
  96:           222          30592  [[C
  97:          1814          29024  sun.reflect.generics.tree.ClassTypeSignature
  98:          1769          28304  org.apache.jasper.compiler.ELNode$ELText
  99:          3520          28160  java.lang.ref.ReferenceQueue$Lock
 100:          1173          28152  sun.reflect.NativeConstructorAccessorImpl
 101:           428          27392  java.util.logging.Logger
 102:           851          27232  java.security.CodeSource
 103:           849          27168  java.security.ProtectionDomain
 104:           374          26928  org.apache.jasper.compiler.Node$ELExpression
 105:           672          26880  java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync
 106:           260          26456  [Ljava.beans.MethodDescriptor;
 107:            80          26240  org.apache.xmlbeans.impl.schema.SchemaTypeImpl
 108:          1600          25600  org.springframework.util.ConcurrentReferenceHashMap$ReferenceManager
 109:          1568          25088  org.springframework.util.ConcurrentReferenceHashMap$ReferenceManager
 110:          1555          24880  java.util.HashMap$Values
 111:          1022          24528  sun.security.util.DerInputBuffer
 112:          1022          24528  sun.security.util.DerValue
 113:          1016          24384  sun.security.x509.RDN
 114:           169          24336  org.springframework.beans.factory.support.RootBeanDefinition
 115:           169          24336  org.springframework.beans.factory.support.RootBeanDefinition
 116:           756          24192  java.math.BigInteger
 117:           502          24096  java.nio.HeapByteBuffer
 118:           109          23472  [Ljava.lang.StackTraceElement;
 119:           204          22592  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
 120:           449          21552  java.util.logging.LogManager$LoggerWeakRef
 121:          1336          21376  [Lsun.reflect.generics.tree.FieldTypeSignature;
 122:          1332          21312  sun.reflect.DelegatingConstructorAccessorImpl
 123:           527          21080  ch.qos.logback.classic.Logger
 124:           329          21056  java.text.DecimalFormatSymbols
 125:           522          20880  ch.qos.logback.classic.Logger
 126:           326          20864  java.text.SimpleDateFormat
 127:           853          20472  javax.management.ObjectName$Property
 128:           628          20096  javax.management.MBeanAttributeInfo
 129:          1242          19872  java.util.Collections$UnmodifiableSet
 130:           621          19872  sun.security.util.ObjectIdentifier
 131:            99          19800  com.sun.org.apache.xerces.internal.impl.dv.xs.XSSimpleTypeDecl
 132:           347          19432  org.hibernate.collection.internal.PersistentSet
 133:           344          19264  com.mysql.jdbc.ConnectionPropertiesImpl$StringConnectionProperty
 134:           403          19216  [[Ljava.lang.String;
 135:           462          18480  org.apache.tomcat.util.digester.CallParamRule
 136:           329          18424  org.springframework.core.MethodParameter
 137:          1147          18352  java.util.HashMap$EntrySet
 138:           764          18336  java.util.Date
 139:           732          17568  sun.reflect.annotation.AnnotationInvocationHandler
 140:           544          17408  sun.reflect.generics.repository.MethodRepository
 141:           435          17400  org.hibernate.hql.internal.ast.tree.Node
 142:           308          17248  org.springframework.core.MethodParameter
 143:           472          17152  [Ljava.beans.PropertyDescriptor;
 144:          1022          16352  sun.security.util.DerInputStream
 145:          1016          16256  org.apache.tomcat.util.http.MimeHeaderField
 146:          1016          16256  sun.security.x509.AVA
 147:          1016          16256  [Lsun.security.x509.AVA;
 148:           216          15552  org.apache.tomcat.util.net.jsse.openssl.Cipher
 149:            91          15288  org.apache.coyote.Request
 150:           237          15168  java.util.regex.Pattern
 151:           938          15008  org.apache.jasper.compiler.ELNode$Nodes
 152:            89          14952  org.apache.catalina.connector.Request
 153:           232          14848  com.mysql.jdbc.ConnectionPropertiesImpl$IntegerConnectionProperty
 154:           262          14672  org.apache.tomcat.util.descriptor.tld.TagXml
 155:           897          14352  java.util.concurrent.locks.ReentrantLock
 156:           889          14224  java.util.jar.Attributes$Name
 157:           590          14160  java.util.ArrayList$Itr
 158:           589          14136  sun.reflect.UnsafeObjectFieldAccessorImpl
 159:           585          14040  java.util.concurrent.locks.ReentrantReadWriteLock
 160:           737          13752  [Lorg.apache.el.parser.Node;
 161:            95          13680  org.apache.jasper.compiler.Node$CustomTag
 162:           851          13616  sun.reflect.DelegatingMethodAccessorImpl
 163:           849          13584  java.security.ProtectionDomain$Key
 164:           849          13584  [Ljava.security.Principal;
 165:           169          13520  org.apache.xmlbeans.impl.schema.SchemaPropertyImpl
 166:           505          13264  [Ljavax.management.ObjectName$Property;
 167:           329          13160  java.text.DigitList
 168:           544          13056  sun.reflect.generics.tree.MethodTypeSignature
 169:           319          12760  sun.util.locale.LocaleObjectCache$CacheEntry
 170:           258          12384  java.nio.HeapCharBuffer
 171:           513          12312  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl
 172:           252          12096  sun.security.x509.X500Name
 173:           213          11928  org.springframework.web.method.HandlerMethod$HandlerMethodParameter
 174:           213          11928  org.springframework.web.method.HandlerMethod$HandlerMethodParameter
 175:           105          11760  [Lcom.sun.org.apache.xerces.internal.xni.QName;
 176:           293          11720  com.skyline.pojo.Powers
 177:           121          11616  org.apache.xmlbeans.impl.schema.SchemaLocalElementImpl
 178:           206          11536  java.util.WeakHashMap
 179:           712          11464  [Lsun.reflect.generics.tree.FormalTypeParameter;
 180:           712          11392  sun.reflect.generics.factory.CoreReflectionFactory
 181:           284          11360  org.apache.tomcat.util.modeler.OperationInfo
 182:            16          11264  [Lcom.sun.org.apache.xerces.internal.util.SymbolTable$Entry;
 183:            91          10920  org.aspectj.weaver.reflect.ReflectionBasedResolvedMemberImpl
 184:            91          10920  org.apache.coyote.http11.Http11NioProcessor
 185:            51          10808  [Ljava.lang.reflect.Method;
 186:           673          10768  java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter
 187:           673          10768  java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock
 188:           673          10768  java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock
 189:           544          10592  [Lsun.reflect.generics.tree.TypeSignature;
 190:           437          10488  org.apache.juli.ClassLoaderLogManager$LogNode
 191:           260          10400  java.beans.BeanDescriptor
 192:           260          10400  java.beans.GenericBeanInfo
 193:           182          10368  [Lorg.apache.tomcat.util.http.MimeHeaderField;
 194:           640          10240  java.util.concurrent.CopyOnWriteArrayList
 195:           142          10224  org.hibernate.mapping.Column
 196:           213          10224  sun.security.ssl.CipherSuite
 197:           316          10112  sun.reflect.generics.reflectiveObjects.WildcardTypeImpl
 198:           421          10104  com.sun.org.apache.xerces.internal.util.XMLStringBuffer
 199:           250          10000  javax.management.MBeanOperationInfo
 200:            88           9856  org.apache.tomcat.util.net.NioEndpoint$KeyAttachment
 201:            88           9856  org.apache.tomcat.util.threads.TaskThread
 202:            64           9728  [Lorg.hibernate.internal.util.collections.BoundedConcurrentHashMap$HashEntry;
 203:           405           9720  org.springframework.beans.factory.annotation.InjectionMetadata
 204:           405           9720  org.springframework.beans.factory.annotation.InjectionMetadata
 205:           201           9648  sun.nio.cs.UTF_8$Encoder
 206:             8           9600  com.mysql.jdbc.JDBC4Connection
 207:           298           9536  javax.el.BeanELResolver$BeanProperty
 208:           169           9464  java.security.Provider$Service
 209:            91           9464  sun.nio.ch.SocketChannelImpl
 210:           228           9120  org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference
 211:           228           9120  org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference
 212:           379           9096  com.sun.org.apache.xerces.internal.xni.XMLString
 213:            91           8736  org.apache.coyote.Response
 214:            91           8736  org.apache.coyote.http11.InternalNioInputBuffer
 215:           544           8704  sun.reflect.generics.scope.MethodScope
 216:           544           8704  java.util.concurrent.atomic.AtomicInteger
 217:           543           8688  java.lang.Long
 218:            36           8640  org.apache.catalina.core.StandardWrapper
 219:           152           8512  javax.servlet.jsp.tagext.TagInfo
 220:           265           8480  org.apache.tomcat.util.digester.SetNextRule
 221:           349           8376  sun.security.x509.AlgorithmId
 222:           340           8160  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject
 223:           339           8136  java.io.File
 224:           253           8096  javax.management.ObjectName
 225:           100           8000  [Lorg.springframework.util.ConcurrentReferenceHashMap$Segment;
 226:           199           7960  sun.java2d.loops.Blit
 227:           142           7952  org.apache.catalina.webresources.JarResource
 228:           164           7872  java.util.TreeMap
 229:           245           7840  org.aspectj.weaver.Lint$Kind
 230:            98           7840  [Lorg.springframework.util.ConcurrentReferenceHashMap$Segment;
 231:           194           7760  org.hibernate.loader.DefaultEntityAliases
 232:           192           7680  org.springframework.core.type.classreading.MethodMetadataReadingVisitor
 233:           192           7680  com.sun.org.apache.xerces.internal.util.XMLAttributesImpl$Attribute
 234:           192           7680  org.springframework.core.type.classreading.MethodMetadataReadingVisitor
 235:           237           7584  java.lang.ref.Finalizer
